question,summary_answer,difficulty,intent,filename
combine multiple descriptors,You can easily combine multiple descriptors in your evaluations to set complex pass/fail conditions for your text data.,intermediate,code,docs/library/descriptors.mdx
customizing text descriptors,"Customizing descriptors allows for tailored evaluations, enabling you to add aliases and specific parameters to meet your needs.",intermediate,code,docs/library/descriptors.mdx
descriptor tests for text data,"You can define pass/fail checks for your text data using Descriptor Tests, as detailed in the article, to enhance the evaluation process.",advanced,code,docs/library/descriptors.mdx
previewing descriptor results,"The article shows how to preview results through a DataFrame, providing a clear visual of the evaluation output.",beginner,code,docs/library/descriptors.mdx
code for adding descriptors to dataset,"The article includes code examples for adding descriptors to a Dataset object, essential for evaluating text data correctly.",beginner,code,docs/library/descriptors.mdx
implementing custom evals in Python,"You can implement custom evaluations as Python functions, providing flexibility in how text data is assessed.",advanced,code,docs/library/descriptors.mdx
evidently eval workflow setup,"The article explains how to set up and run an evaluation workflow using the Evidently library, including connecting to Evidently Cloud or running locally.",beginner,text,docs/library/evaluations_overview.mdx
create Dataset object in evidently,It provides guidance on how to create a Dataset object with the 'DataDefinition()' method to specify column roles and types within the Evidently library.,intermediate,code,docs/library/evaluations_overview.mdx
run report in evidently,"In this article, you can find instructions on how to run a report on the evaluation data using the Evidently library, including code examples.",beginner,code,docs/library/evaluations_overview.mdx
generate metrics with evidently,"The article explains how to use the evidently library to generate multiple metrics from datasets using metric generator functions, simplifying analysis.",beginner,code,docs/library/metric_generator.mdx
apply ValueDrift to all columns,It provides code examples for applying the ValueDrift metric to either all columns or specific columns in a dataset using the evidently library.,intermediate,code,docs/library/metric_generator.mdx
export evaluation results formats,"The article discusses how to export evaluation results in multiple formats such as HTML, JSON, and Python dictionaries.",beginner,text,docs/library/output_formats.mdx
save report as HTML Evidently,"You can save an evaluation report as an HTML file using the `my_report.save_html(""file.html"")` command to share or view it in a browser.",beginner,code,docs/library/output_formats.mdx
export results JSON format,"The article provides instructions on exporting evaluation results in JSON format, which is useful for storage and further processing.",beginner,code,docs/library/output_formats.mdx
generate report JSON example,"To generate a report in JSON format, use `my_report.json()` for viewing and `my_report.save_json(""file.json"")` for saving.",intermediate,code,docs/library/output_formats.mdx
output formats in Evidently explanation,The article gives a detailed overview of different output formats available in Evidently for exporting evaluation results and their uses.,intermediate,text,docs/library/output_formats.mdx
use Python dictionary for reports,"You can convert the evaluation report to a Python dictionary with `my_report.dict()`, which helps in automated evaluations in data pipelines.",advanced,code,docs/library/output_formats.mdx
evidently library core concepts,"The article provides an overview of the core concepts and components of the Evidently Python library, focusing on AI system evaluation and monitoring workflows.",beginner,text,docs/library/overview.mdx
how to use evidently for data evaluation,"Evidently allows users to run evaluations on AI system inputs and outputs with 100+ built-in metrics, making it easy to assess data quality and system performance.",beginner,code,docs/library/overview.mdx
evidently library metrics examples,"The article discusses various metrics available in the Evidently library, including checks for text quality, LLM outputs, data quality, and classification metrics, with usage examples.",intermediate,code,docs/library/overview.mdx
export evidently evaluation scores,"You can export evaluation results from the Evidently library in various formats, including JSON, Python dictionaries, or as DataFrames for further analysis.",beginner,code,docs/library/overview.mdx
LLM evaluation with evidently,"Evidently provides specific tools and workflows for evaluating large language models (LLMs), including metrics and report generation for LLM outputs.",intermediate,text,docs/library/overview.mdx
synthetic data generation evidently,"Evidently includes features for generating structured synthetic data, particularly for testing and validating AI applications, using configurable templates.",beginner,code,docs/library/overview.mdx
visual report generation evidently,"The library allows users to create visual reports in Jupyter or export them as HTML, providing a clear view of evaluation results and metrics.",beginner,code,docs/library/overview.mdx
evidently dataset object creation,"To run evaluations, create a Dataset object that holds your data and metadata, necessary for processing within the Evidently framework.",intermediate,code,docs/library/overview.mdx
descriptor usage in evidently,"Descriptors are row-level assessments used in the Evidently library to evaluate text quality, essential for analyzing LLM outputs or evaluating dataset performance.",intermediate,text,docs/library/overview.mdx
tracking evaluation results evidently,"Evidently includes a lightweight UI to track and visualize evaluation results over time, helping users monitor performance and quality metrics.",beginner,text,docs/library/overview.mdx
testing suite configuration evidently,"The article explains how to set up test suites in Evidently, which allow users to validate metrics against specific conditions during evaluations.",advanced,code,docs/library/overview.mdx
data quality checks evidently,"Evidently provides various built-in checks for assessing data quality, such as missing values, duplicates, and ranges, crucial for maintaining data integrity.",beginner,code,docs/library/overview.mdx
evidently test conditions,"The library supports defining test conditions to validate results and ensure metrics meet specified expectations, enhancing evaluation reliability.",advanced,code,docs/library/overview.mdx
metrics for classification evidently,"Evidently includes various metrics for evaluating classification tasks, such as accuracy, precision, and ROC AUC, with integrated debugging plots.",intermediate,code,docs/library/overview.mdx
data drift monitoring evidently,"The Evidently library includes features to detect data drift, allowing users to monitor changes in data distribution and maintain model reliability.",intermediate,code,docs/library/overview.mdx
integration with evidently platform,"Users can integrate Evidently evaluations with the Evidently Platform for enhanced tracking, comparison, and alerting on AI performance metrics.",intermediate,text,docs/library/overview.mdx
evidently reports generation,"The library allows for the generation of structured reports which summarize evaluations, including metrics and tests results over datasets.",beginner,code,docs/library/overview.mdx
prompt optimization tools in evidently,"Evidently includes tools for automated prompt optimization, leveraging evaluation capabilities to improve prompt effectiveness for LLMs.",intermediate,text,docs/library/overview.mdx
configuring evidently workflows,"The article provides guidance on building customized workflows using Evidently, from independent analytical processes to integrated platform monitoring.",advanced,text,docs/library/overview.mdx
presets in evidently for evaluations,Evidently supports predefined presets that simplify the evaluation process by bundling related metrics for quick assessments.,intermediate,code,docs/library/overview.mdx
evidently cloud features,"The Evidently Cloud offers additional capabilities like managed evaluations and synthetic data generation, extending the library's functionalities for users.",beginner,text,docs/library/overview.mdx
generate report with Evidently,"The article provides a comprehensive guide on generating reports in Evidently, covering both single and multiple datasets with examples.",beginner,code,docs/library/report.mdx
Evidently report presets,It explains how to use pre-built report presets to quickly generate reports and the steps to customize and combine metrics for custom reports.,beginner,text,docs/library/report.mdx
how to limit columns in Evidently report,"Details how to specify which columns to include in a report when using Evidently's preset metrics, with code snippets for clarity.",intermediate,code,docs/library/report.mdx
comparing report results Evidently,"The article demonstrates how to compare multiple evaluation results side-by-side using Evidently's compare function, including example code.",advanced,code,docs/library/report.mdx
add metadata to evaluations Evidently,The article outlines how to include metadata and tags in evaluations to improve searchability and filtering of reports in the Evidently platform.,beginner,text,docs/library/tags_metadata.mdx
custom tags example Evidently,It includes code examples for passing custom tags and metadata to Reports for better organization and tracking of evaluation runs in the Evidently framework.,intermediate,code,docs/library/tags_metadata.mdx
running tests in evidently,"The article provides details on how to run Tests in the Evidently library, highlighting auto-generated conditions and manual setups.",beginner,code,docs/library/tests.mdx
evidently tests examples,"The article includes code snippets showing how to implement Tests using Evidently, both with defaults and custom conditions.",beginner,code,docs/library/tests.mdx
conditional checks in data validation,It describes how to perform conditional checks to validate data conditions and ensure quality in datasets.,intermediate,text,docs/library/tests.mdx
how to create custom tests evidently,Guidance on defining custom tests with specific conditions like min or max value checks is provided in the article.,intermediate,code,docs/library/tests.mdx
test presets evidently,"The article explains the concept of Test Presets, which allow for quick validation setups without manually defining tests.",beginner,text,docs/library/tests.mdx
using heuristics for tests evidently,Details about how to implement tests using built-in heuristics when no reference dataset is provided are discussed.,intermediate,text,docs/library/tests.mdx
multi-condition tests evidentlly,It demonstrates how to set up multiple conditions for a single metric within the Evidently framework.,advanced,code,docs/library/tests.mdx
passing conditions for evident tests,"Explains how to define passing conditions for tests using parameters like greater than or equal, and equal.",intermediate,code,docs/library/tests.mdx
reference dataset in evidently tests,The article discusses how to use a reference dataset to set conditions for testing and the implications of comparison.,advanced,text,docs/library/tests.mdx
set up alerts in Evidently,The article explains how to set up alerts in Evidently by configuring notification channels and conditions based on tests or metrics.,beginner,code,docs/platform/alerts.mdx
Evidently alerts notification channels,"It describes various notification channels available for alerts, including Email, Slack, and Discord.",beginner,text,docs/platform/alerts.mdx
Evidently alert conditions,The document outlines how to establish alert conditions based on failed tests or specific metric values.,intermediate,code,docs/platform/alerts.mdx
manage alert fatigue Evidently,The article suggests using the `is_critical` parameter to minimize alert fatigue by designating non-critical tests as warnings.,intermediate,text,docs/platform/alerts.mdx
Evidently alert configuration examples,"Examples of configuring alerts in Evidently for different scenarios, such as test failures and metric thresholds, are provided.",advanced,code,docs/platform/alerts.mdx
add dashboard panels python,"The article provides guidance on adding panels to dashboards using the Python API, including specific code examples for different panel types.",beginner,code,docs/platform/dashboard_add_panels.mdx
evidently dashboard panel types,"It covers various panel types that can be added to the dashboard, including text, counters, pies, line, and bar charts, along with implementation details.",beginner,text,docs/platform/dashboard_add_panels.mdx
how to create a new tab in dashboard,"You can create a new tab in the dashboard using the `add_tab` method in the Python API, with a simple code example provided in the article.",beginner,code,docs/platform/dashboard_add_panels.mdx
delete dashboard tab python,"The article explains how to delete a tab using the `delete_tab` method in the Python API, complete with code examples for clarity.",intermediate,code,docs/platform/dashboard_add_panels.mdx
multiple panels in one dashboard,"You can add multiple panels to a dashboard at once, and the article explains how to do this with clear code snippets.",beginner,code,docs/platform/dashboard_add_panels.mdx
panel metrics in evidently,"The article discusses how to reference and display specific metrics in panels using the `PanelMetric` class, crucial for proper configuration.",intermediate,text,docs/platform/dashboard_add_panels.mdx
clear all panels in dashboard,"To clear all panels and tabs in a dashboard, you can use the `clear_dashboard` method, as detailed in the article.",intermediate,code,docs/platform/dashboard_add_panels.mdx
text-only panels in dashboard,It mentions how to create text-only panels perfect for titles and provides a code example for adding them to a specific tab.,beginner,code,docs/platform/dashboard_add_panels.mdx
configuring panel values,The article covers how to configure panel values and highlights the importance of referencing the appropriate metrics and labels.,advanced,text,docs/platform/dashboard_add_panels.mdx
add pie chart panel python,"You can add pie chart panels using the Python API, and the article provides a code example to demonstrate this implementation.",intermediate,code,docs/platform/dashboard_add_panels.mdx
evidently dashboard panel options,"A summary table of all panel parameters is included, describing required and optional attributes for dashboard panels.",intermediate,text,docs/platform/dashboard_add_panels.mdx
how to delete a dashboard panel,"The article explains how to delete specific panels from the dashboard using the `delete_panel` method, illustrated with code.",beginner,code,docs/platform/dashboard_add_panels.mdx
panel options and parameters,"It provides a detailed overview of all parameters for configuring panels, including size, title, and plot settings, with examples.",advanced,text,docs/platform/dashboard_add_panels.mdx
create dashboard panel examples,The article provides a step-by-step guide on how to create various types of panels such as line plots and pie charts for your dashboard.,beginner,code,docs/platform/dashboard_add_panels_ui.mdx
how to add tabs to dashboard,"Instructions are given for adding multiple tabs to the dashboard, making it easier to organize the panels you create.",beginner,code,docs/platform/dashboard_add_panels_ui.mdx
dashboard editing mode functions,The article explains the functions available in the Edit mode for managing tabs and panels on your dashboard.,intermediate,text,docs/platform/dashboard_add_panels_ui.mdx
configuring metrics for panels,Details are provided on how to select specific metrics and configure their display properties when adding panels to the dashboard.,advanced,code,docs/platform/dashboard_add_panels_ui.mdx
creating a dashboard in Evidently,"The article outlines that to create a Dashboard in Evidently, you must run an evaluation, save at least one Report to your Project, and then you can start adding Panels to visualize the data.",beginner,code,docs/platform/dashboard_overview.mdx
dashboard panels types and examples,"Dashboard Panels can be various types such as counters, line plots, and bar plots, and users can add or customize these Panels using either the Python API or the UI, as explained in the article.",intermediate,code,docs/platform/dashboard_overview.mdx
what are datasets in Evidently,"The article defines datasets as collections of data used for analysis and automated checks, highlighting their importance in the Evidently Platform.",beginner,text,docs/platform/datasets_overview.mdx
upload csv dataset Evidently Python,It explains how to upload CSV files directly or via the Python API to create datasets in the Evidently platform.,intermediate,code,docs/platform/datasets_overview.mdx
create and upload datasets in Evidently,The article explains how to create and upload datasets in Evidently by preparing them with the necessary data definitions and using methods like `add_dataset`.,beginner,code,docs/platform/datasets_workflow.mdx
how to download dataset from Evidently,Instructions for downloading datasets stored on the Evidently platform using the `load_dataset` method are provided in the article.,intermediate,code,docs/platform/datasets_workflow.mdx
run evals API example,"The article provides a simple code example for running evaluations using the Evidently API, demonstrating how to set up and execute an evaluation report.",beginner,code,docs/platform/evals_api.mdx
evidently upload evaluation results process,"It details the steps to upload evaluation results to the Evidently platform, including options for including raw data and metrics.",intermediate,text,docs/platform/evals_api.mdx
view and compare evaluation results,"The article explains how to access and compare evaluation results, allowing users to analyze multiple reports and identify performance differences.",beginner,code,docs/platform/evals_explore.mdx
no code data evaluation setup,"The article outlines how to set up data evaluations in a no-code interface, focusing on uploading datasets and choosing evaluation methods.",beginner,code,docs/platform/evals_no_code.mdx
how to use descriptors in no code,"It explains how to add descriptors for evaluations, which are essential for labeling and scoring texts within the interface.",beginner,code,docs/platform/evals_no_code.mdx
configure sentiment analysis no code,"The article provides steps on configuring sentiment analysis as a model-based evaluation method, including selecting columns and evaluation criteria.",intermediate,code,docs/platform/evals_no_code.mdx
LLM evaluator integration details,"It discusses how to integrate LLMs as judges in evaluations, including adding tokens and setting parameters for custom criteria.",advanced,text,docs/platform/evals_no_code.mdx
evals platform overview,"The article gives a comprehensive overview of running evaluations using the Evidently platform, detailing different use cases and how to implement them.",beginner,text,docs/platform/evals_overview.mdx
run evaluations Python Evidently,"You can conduct evaluations in Python on the Evidently platform by generating reports, and the article explains how to upload results and utilize the Explore feature for comparison.",intermediate,code,docs/platform/evals_overview.mdx
evidently batch evaluation example,"The article provides a simple example of running batch evaluations using the Evidently library, showing how to connect datasets and generate reports for statistical analysis.",beginner,code,docs/platform/monitoring_local_batch.mdx
workflow for batch monitoring,"The article details the complete workflow for batch monitoring, including configuring metrics, running evaluations, and setting up dashboards for tracking results over time.",intermediate,text,docs/platform/monitoring_local_batch.mdx
AI quality monitoring explained,"The article outlines how AI observability helps evaluate input and output quality in production applications, providing tools and strategies for effective monitoring.",beginner,text,docs/platform/monitoring_overview.mdx
set up batch monitoring with Evidently,"It details how to establish batch monitoring jobs using the Evidently platform, including creating evaluation pipelines and running metric calculations.",intermediate,code,docs/platform/monitoring_overview.mdx
Using Tracely library for AI monitoring,The article describes how to instrument applications with the Tracely library to capture detailed operational data and schedule evaluations efficiently.,advanced,code,docs/platform/monitoring_overview.mdx
Evidently Platform features summary,"The article highlights key features of the Evidently Platform, including local evaluations, dataset management, synthetic data generation, regression testing, monitoring, and tracing capabilities.",beginner,text,docs/platform/overview.mdx
Evidently Python library examples,"The article provides insights into using the Evidently Python library for running local evaluations and uploading datasets, along with descriptions of its functionalities.",intermediate,code,docs/platform/overview.mdx
create project in Evidently,"To create a project in Evidently, use the `create_project` method in Python, specifying the project name and optionally the organization ID.",beginner,code,docs/platform/projects_manage.mdx
manage projects Evidently UI,"In the Evidently UI, users can create or edit projects by using the interface options on the home page, including a 'plus' sign for new projects and hover actions for editing existing ones.",beginner,text,docs/platform/projects_manage.mdx
delete project in Evidently Python,"To delete a project in Python, use the `ws.delete_project(""PROJECT ID"")` method, remembering that this will delete all associated data.",intermediate,code,docs/platform/projects_manage.mdx
project parameters in Evidently,"Each project in Evidently has parameters like name, ID, description, and dashboard configuration that can be adjusted for monitoring purposes.",advanced,text,docs/platform/projects_manage.mdx
what is a project in evidently,"A Project in Evidently helps organize data and evaluations for specific use cases and includes datasets, reports, and traces.",beginner,text,docs/platform/projects_overview.mdx
evidently project structure guidelines,"The article suggests structuring Projects based on application or model, app components, test scenarios, development phases, or use cases for better organization.",intermediate,code,docs/platform/projects_overview.mdx
evidently python api project management,"You can connect to Projects via the Python API to send data, edit dashboards, and manage configurations, making integration straightforward.",advanced,code,docs/platform/projects_overview.mdx
LLM tracing overview,"The article explains LLM tracing as a way to collect detailed performance data for AI applications, which is crucial for evaluation and analysis.",beginner,text,docs/platform/tracing_overview.mdx
how to implement tracing in Evidently,It discusses how to instrument your AI application using the Tracely library to capture execution data for detailed analysis.,intermediate,code,docs/platform/tracing_overview.mdx
tracing features in Evidently,The overview highlights the Pro features of Evidently Cloud and Evidently Enterprise that include tracing capabilities.,beginner,text,docs/platform/tracing_overview.mdx
using Tracely for AI tracing,The article covers the use of the open-source Tracely library based on OpenTelemetry for tracing LLM applications.,intermediate,code,docs/platform/tracing_overview.mdx
is tracing always necessary for LLMs,Tracing is optional in the Evidently platform but is recommended for deeper insights into LLM execution flows.,beginner,text,docs/platform/tracing_overview.mdx
evaluating tracing data with Evidently,"Once data is captured, the article explains how to run evaluations on the tracing datasets for better performance insights.",intermediate,code,docs/platform/tracing_overview.mdx
install tracely package,You need to install the `tracely` package from PyPi using `pip install tracely` to begin tracing.,beginner,code,docs/platform/tracing_setup.mdx
init_tracing function example,"The article provides an example of how to initialize tracing with the `init_tracing` function, including necessary parameters like `address` and `api_key`.",intermediate,code,docs/platform/tracing_setup.mdx
tracely parameters explained,"The article includes a detailed table explaining the parameters for the `init_tracing()` function, such as `address`, `api_key`, and `project_id`.",intermediate,text,docs/platform/tracing_setup.mdx
using trace_event decorator,"You can use the `trace_event` decorator to collect traces for specific functions, with examples provided for logging various function arguments.",beginner,code,docs/platform/tracing_setup.mdx
get_info function to retrieve export_id,"To retrieve the `export_id` of the tracing dataset, you can call the `get_info()` function after initializing tracely.",intermediate,code,docs/platform/tracing_setup.mdx
nested events in tracing,The article discusses how to trace multi-step workflows by using the `@trace_event` decorator for nested function calls within a single parent trace.,advanced,text,docs/platform/tracing_setup.mdx
context manager for tracing,"You can create trace events without decorators by using the context manager `create_trace_event`, allowing for tracing inline code effectively.",intermediate,code,docs/platform/tracing_setup.mdx
set result for trace event,The article mentions how to set results for trace events using methods like `set_result` within the `event` object in a tracing context.,intermediate,code,docs/platform/tracing_setup.mdx
session_id for separate traces,"Using a shared `session_id`, you can join traces created in separate functions or threads for better tracking of related events.",advanced,text,docs/platform/tracing_setup.mdx
bind_to_trace example,The article provides a code example of how to use `tracely.bind_to_trace` to link events into a single trace using a unique `trace_id`.,advanced,code,docs/platform/tracing_setup.mdx
create Evidently Cloud account,The article explains how to sign up for a free Evidently Cloud account and create an organization after logging in.,beginner,text,docs/setup/cloud.mdx
self-host Evidently UI,"The article explains the steps to self-host the Evidently UI service, including the creation of a local or remote workspace.",beginner,text,docs/setup/self-hosting.mdx
create a local workspace Evidently,It details how to create a local workspace for storing evaluation results and running the UI service on your machine.,beginner,code,docs/setup/self-hosting.mdx
Evidently UI launch command,"Instructions for launching the Evidently UI service through terminal commands are provided, outlining different options based on workspace locations.",intermediate,code,docs/setup/self-hosting.mdx
Evidently remote workspace setup,"The setup for a remote workspace is described, including necessary imports and how to specify the remote service URL.",intermediate,code,docs/setup/self-hosting.mdx
delete workspace command Evidently,The article provides a warning about how to delete a workspace and emphasizes the importance of data backup before executing the command.,advanced,text,docs/setup/self-hosting.mdx
evidently github actions integration,The article explains how to integrate Evidently with GitHub Actions to automatically test LLM outputs during continuous integration.,beginner,text,examples/GitHub_actions.mdx
ci cd testing llm with evidently,"Learn how to set up CI/CD testing for your LLM using Evidently in conjunction with GitHub Actions, ensuring reliable performance with every code push.",beginner,code,examples/GitHub_actions.mdx
how to configure evidently tests in github actions,"The article outlines the steps required to configure testing for your LLM outputs in GitHub Actions using Evidently, including defining test datasets and evaluation methods.",intermediate,code,examples/GitHub_actions.mdx
evidently report metrics,"This article provides insights into how Evidently generates detailed test reports with pass/fail metrics for LLM outputs, which helps in tracking performance.",intermediate,text,examples/GitHub_actions.mdx
advanced evidently testing strategies,"For those familiar with Evidently, the article suggests advanced methods for integrating detailed testing strategies within a GitHub Actions workflow.",advanced,code,examples/GitHub_actions.mdx
basic LLM evaluation methods,"The article outlines different LLM evaluation methods, starting with the basics of setting up an evaluation API.",beginner,text,examples/LLM_evals.mdx
code example for LLM evaluation API,"It includes a tutorial with code examples for implementing various LLM evaluation methods, accessible via an open notebook.",intermediate,code,examples/LLM_evals.mdx
LLM judge creation tutorial,The article provides a comprehensive tutorial on how to create and evaluate an LLM judge for assessing text responses using custom criteria and reference comparisons.,beginner,code,examples/LLM_judge.mdx
evaluate responses with LLM,It explains how to use LLMs to evaluate responses either by comparing them to a reference or by using custom criteria for assessment.,beginner,code,examples/LLM_judge.mdx
install Evidently Python package,Instructions for installing the Evidently library using pip are provided to get started with the tutorial.,beginner,code,examples/LLM_judge.mdx
LLM as judge examples,Examples are included in the article to illustrate how to implement an LLM as a judge for evaluating text responses based on specified criteria.,beginner,code,examples/LLM_judge.mdx
creating evaluation datasets,The article describes how to create a toy Q&A dataset that can be used to test the LLM judge's performance.,beginner,code,examples/LLM_judge.mdx
LLM evaluator prompt design,It covers how to design effective prompts for the LLM evaluator to ensure accurate evaluations of responses.,intermediate,code,examples/LLM_judge.mdx
how to evaluate LLM judge performance,The article highlights techniques for evaluating the performance and accuracy of the LLM judge by comparing its outputs to manual labels.,intermediate,code,examples/LLM_judge.mdx
how to use BinaryClassificationPromptTemplate,It includes details on how to configure the BinaryClassificationPromptTemplate to set up criteria for evaluating responses as correct or incorrect.,intermediate,code,examples/LLM_judge.mdx
Jupyter notebook LLM judge,Guidance on using Jupyter notebooks for executing the code examples and rendering evaluation results directly is provided.,beginner,text,examples/LLM_judge.mdx
LLM evaluator tutorial steps,"The article outlines steps to create and run an LLM as a judge, including data definition and configuration for evaluations.",beginner,text,examples/LLM_judge.mdx
OpenAI API key setup,Instructions are included for setting up an OpenAI API key as an environment variable for using the LLM evaluator in code.,beginner,code,examples/LLM_judge.mdx
collecting evaluation metrics,"The tutorial explains how to collect various metrics to assess the effectiveness of the LLM judge, such as precision, recall, and accuracy.",advanced,code,examples/LLM_judge.mdx
reporting evaluation results,It describes how to generate a report summarizing the evaluation results with the Evidently library after scoring the LLM outputs.,intermediate,code,examples/LLM_judge.mdx
LLM evaluator compare new responses,The article discusses methods to compare new responses against known correct answers using the LLM as a judge.,intermediate,code,examples/LLM_judge.mdx
understanding correctness evaluator,It provides insights into the correctness evaluator setup and how it determines the accuracy of responses based on reference answers.,intermediate,text,examples/LLM_judge.mdx
verbosity evaluator setup,The tutorial includes steps for creating a verbosity evaluator to assess the conciseness of responses using LLM.,advanced,code,examples/LLM_judge.mdx
usage of custom criteria with LLM,The article explains how to apply custom evaluation criteria when using an LLM judge to assess responses.,intermediate,text,examples/LLM_judge.mdx
cloud integration with Evidently,It details how to integrate and send your evaluation results to the Evidently Cloud for further analysis and exploration.,intermediate,code,examples/LLM_judge.mdx
best practices for LLM judges,The article encourages iterating on your LLM judge's prompt and exploring different LLMs to improve evaluation accuracy.,advanced,text,examples/LLM_judge.mdx
synthetic data generation for LLM evaluations,"It mentions the capability to create synthetic datasets to facilitate LLM evaluations, enhancing testing methods for various use cases.",intermediate,text,examples/LLM_judge.mdx
evaluate output with multiple LLMs,The article explains how to use multiple LLMs to evaluate the same output and consider a result a 'pass' only if all or most approve.,beginner,code,examples/LLM_jury.mdx
install evidently for LLM,"Instructions for installing the Evidently package to work with LLMs are provided in the article, including the necessary pip commands.",beginner,code,examples/LLM_jury.mdx
set up LLM judges,The article outlines how to set up different LLMs as judges by passing their API keys and provides code snippets for setup.,beginner,code,examples/LLM_jury.mdx
aggregate evaluation results in LLM,It describes how to aggregate evaluations from multiple LLMs to determine whether generated emails are appropriate based on majority approval.,intermediate,code,examples/LLM_jury.mdx
define evaluation criteria for LLM,The article explains using a prompt template to define the criteria for evaluating appropriateness of the emails generated.,intermediate,code,examples/LLM_jury.mdx
flags for LLM disagreements,"You can add custom descriptors to flag disagreements among LLM evaluations, identifying when models do not unanimously agree.",intermediate,code,examples/LLM_jury.mdx
judges LLM output disagreement,"The article shows how to create indicators for disagreements in outputs from different LLM judges, enhancing evaluation clarity.",advanced,code,examples/LLM_jury.mdx
report LLM evaluation results,It provides steps to run a report on the evaluation results locally or upload them to Evidently Cloud for easier access.,intermediate,code,examples/LLM_jury.mdx
understand LLM evaluation metrics,"The article elaborates on various metrics that summarize LLM evaluation results, including approval rates and disagreement counts.",advanced,text,examples/LLM_jury.mdx
RAG system evaluation metrics,The article covers metrics to assess both retrieval and generation quality in RAG systems using Evidently.,beginner,text,examples/LLM_rag_evals.mdx
setting up Evidently for RAG,Instructions for installing the Evidently library and setting up the environment variables necessary for evaluation tasks are provided in the article.,beginner,code,examples/LLM_rag_evals.mdx
data evaluation example in RAG,The tutorial provides a sample code for generating synthetic datasets and evaluating their context and response quality in RAG systems.,beginner,code,examples/LLM_rag_evals.mdx
how to visualize RAG performance,The article explains how to visualize RAG system evaluations using pandas dataframes and generate structured reports for performance tracking.,intermediate,code,examples/LLM_rag_evals.mdx
pandas options for displaying dataframes,"It includes code to set pandas display options to show full-width dataframes, which is useful for reviewing evaluation outputs.",beginner,code,examples/LLM_rag_evals.mdx
evaluate retrieval quality in RAG,"Methods to assess retrieval quality in a RAG system are explained, including using specific context quality metrics in the evaluation process.",intermediate,code,examples/LLM_rag_evals.mdx
synthetic dataset creation for RAG,The article demonstrates how to create synthetic datasets tailored for testing RAG systems through example code snippets.,beginner,code,examples/LLM_rag_evals.mdx
inspecting RAG evaluation results,"Guidelines are provided for interpreting the results of RAG evaluations, focusing on both relevance and context quality.",intermediate,text,examples/LLM_rag_evals.mdx
compare generated responses against ground truth,The article outlines methods for comparing generated answers from RAG to known correct answers using various metrics like correctness and semantic similarity.,advanced,code,examples/LLM_rag_evals.mdx
uploading evaluation results to Evidently Cloud,Instructions for connecting to Evidently Cloud and uploading evaluated data for better tracking and reporting are included.,intermediate,code,examples/LLM_rag_evals.mdx
how to generate RAG performance report,The article explains how to compile evaluation metrics into a comprehensive report for analyzing system performance across multiple queries.,intermediate,code,examples/LLM_rag_evals.mdx
